symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
AEVO,SELL,LIMIT,IOC,5574.5,0.1180000,0.1199000,FILLED,5574.5,5574.5,1752833843548,657.7909999999999
C,SELL,LIMIT,IOC,4365,0.4633600,0.4676209,FILLED,116,4365,1752833848206,2022.5664
WIF,SELL,LIMIT,IOC,2134.8,1.0730000,1.0842000,FILLED,727.4,2134.8,1752833854582,2290.6404
C,BUY,LIMIT,IOC,1693,0.4801300,0.4740307,FILLED,496,1693,1752833861058,812.86009
C,BUY,LIMIT,IOC,128,0.4807300,0.4703079,FILLED,81,128,1752833863319,61.53344
XMR,SELL,LIMIT,IOC,4.404,329.53,332.65,FILLED,0.996,4.404,1752833863362,1451.25012
C,SELL,LIMIT,IOC,800,0.4601000,0.4637863,FILLED,28,800,1752833884607,368.08
ERA,BUY,LIMIT,IOC,13,1.4761000,1.4630000,FILLED,13,13,1752833885093,19.1893
ERA,BUY,LIMIT,IOC,91,1.4771000,1.4636000,FILLED,91,91,1752833886197,134.4161
C,SELL,LIMIT,IOC,136,0.4592800,0.4660300,FILLED,136,136,1752833886224,62.46208
1000SHIB,SELL,LIMIT,IOC,1042926,0.014837,0.014927,FILLED,158237,1042926,1752833893167,15473.893062
ERA,BUY,LIMIT,IOC,237,1.4788000,1.4645000,FILLED,237,237,1752833893213,350.4756
C,SELL,LIMIT,IOC,830,0.4572100,0.4635494,FILLED,80,830,1752833894441,379.4843
XRP,SELL,LIMIT,IOC,180.3,3.4105,3.4275,FILLED,180.3,180.3,1752833896250,614.91315
1000SHIB,SELL,LIMIT,IOC,1948,0.014833,0.014927,FILLED,1948,1948,1752833896567,28.894684
XRPUSDC,SELL,LIMIT,IOC,1256.7,3.4125,3.4292,FILLED,750.4,1256.7,1752833896700,4288.48875
TAC,BUY,LIMIT,IOC,449461,0.0190300,0.0189140,FILLED,9174,449461,1752833897572,8553.24283
C,SELL,LIMIT,IOC,4404,0.4570000,0.4623675,FILLED,409,4404,1752833898455,2012.6280000000002
TAC,BUY,LIMIT,IOC,5046,0.0190700,0.0189700,FILLED,4410,5046,1752833899056,96.22722
XRP,SELL,LIMIT,IOC,107.8,3.4095,3.4241,FILLED,107.8,107.8,1752833899184,367.5441
C,SELL,LIMIT,IOC,58,0.4557300,0.4622200,FILLED,58,58,1752833899513,26.43234
HAEDAL,SELL,LIMIT,IOC,118,0.2060530,0.2090220,FILLED,118,118,1752833900279,24.314254
BERA,SELL,LIMIT,IOC,2.2,2.323000,2.346000,FILLED,2.2,2.2,1752833900377,5.110600000000001
SUI,SELL,LIMIT,IOC,4921.2,3.995900,4.036000,FILLED,4530.2,4921.2,1752833900672,19664.623079999998
XRP,SELL,LIMIT,IOC,1.8,3.4070,3.4239,FILLED,1.8,1.8,1752833900918,6.1326
IO,SELL,LIMIT,IOC,2333.1,0.8404000,0.8491675,FILLED,216.1,2333.1,1752833901124,1960.73724
C,SELL,LIMIT,IOC,2786,0.4552900,0.4610699,FILLED,456,2786,1752833901491,1268.43794
HAEDAL,SELL,LIMIT,IOC,165,0.2060010,0.2090850,FILLED,146,165,1752833901510,33.990165
C,SELL,LIMIT,IOC,341,0.4549500,0.4608152,FILLED,170,341,1752833902572,155.13795000000002
C,SELL,LIMIT,IOC,831,0.4543000,0.4607900,FILLED,831,831,1752833903586,377.5233
1000SHIB,SELL,LIMIT,IOC,21008,0.014821,0.014919,FILLED,21008,21008,1752833904165,311.359568
ICNT,BUY,LIMIT,IOC,288,0.2643000,0.2609000,FILLED,288,288,1752833909400,76.1184
XRP,SELL,LIMIT,IOC,6948.0,3.4066,3.4230,FILLED,764.2,6948.0,1752833912064,23669.056800000002
ETH,SELL,LIMIT,IOC,0.016,3597.75,3611.00,FILLED,0.016,0.016,1752833912093,57.564
TAC,BUY,LIMIT,IOC,42574,0.0191900,0.0190063,FILLED,27166,42574,1752833912459,816.99506
SOL,SELL,LIMIT,IOC,64.55,178.1100,178.9300,FILLED,45.66,64.55,1752833912520,11497.0005
XRP,SELL,LIMIT,IOC,2625.6,3.4061,3.4216,FILLED,833.5,2625.6,1752833913441,8943.05616
TAC,BUY,LIMIT,IOC,64710,0.0192400,0.0190115,FILLED,223,64710,1752833913512,1245.0204
SOL,SELL,LIMIT,IOC,4.72,178.1000,178.9000,FILLED,4.72,4.72,1752833913556,840.632
FARTCOIN,SELL,LIMIT,IOC,3250.8,1.4374000,1.4505940,FILLED,658.4,3250.8,1752833913729,4672.69992
1000SHIB,SELL,LIMIT,IOC,112435,0.014820,0.014902,FILLED,8397,112435,1752833913771,1666.2866999999999
1000PEPE,SELL,LIMIT,IOC,1215,0.0135010,0.0135851,FILLED,1215,1215,1752833914051,16.403715000000002
DOGE,SELL,LIMIT,IOC,1873,0.237130,0.238590,FILLED,1873,1873,1752833914131,444.14449
ETH,SELL,LIMIT,IOC,4.494,3596.56,3609.97,FILLED,4.494,4.494,1752833914146,16162.940639999999
TRUMP,SELL,LIMIT,IOC,22.02,10.245000,10.345000,FILLED,22.02,22.02,1752833914197,225.59489999999997
WIF,SELL,LIMIT,IOC,9199.1,1.0725000,1.0826452,FILLED,617.9,9199.1,1752833914230,9866.03475
1INCH,SELL,LIMIT,IOC,1323,0.3294,0.3326,FILLED,1258,1323,1752833914258,435.79620000000006
MOODENG,SELL,LIMIT,IOC,99,0.1983500,0.2002327,FILLED,72,99,1752833914326,19.63665
BTC,SELL,LIMIT,IOC,0.001,118201.40,118642.40,FILLED,0.001,0.001,1752833914477,118.20139999999999
AAVE,SELL,LIMIT,IOC,0.1,322.880,326.020,FILLED,0.1,0.1,1752833914477,32.288000000000004
XRP,SELL,LIMIT,IOC,6.0,3.4055,3.4214,FILLED,6.0,6.0,1752833914477,20.433
ADA,SELL,LIMIT,IOC,26,0.84300,0.84720,FILLED,26,26,1752833914477,21.918
TRX,SELL,LIMIT,IOC,58,0.32661,0.32867,FILLED,58,58,1752833914477,18.94338
BNB,SELL,LIMIT,IOC,0.03,733.020,736.510,FILLED,0.03,0.03,1752833914477,21.990599999999997
SOL,SELL,LIMIT,IOC,13.18,178.0300,178.8900,FILLED,13.18,13.18,1752833914591,2346.4354
WIFUSDC,SELL,LIMIT,IOC,9.3,1.0676000,1.0838000,FILLED,9.3,9.3,1752833914676,9.928680000000002
TRUMP,SELL,LIMIT,IOC,50.00,10.243000,10.342080,FILLED,32.50,50.00,1752833915213,512.15
GALA,SELL,LIMIT,IOC,25000,0.01950,0.01969,FILLED,25000,25000,1752833915213,487.5
HBAR,SELL,LIMIT,IOC,1000,0.26778,0.27043,FILLED,517,1000,1752833915213,267.78000000000003
SUI,SELL,LIMIT,IOC,300.0,3.993600,4.033300,FILLED,98.0,300.0,1752833915213,1198.08
ETHFI,SELL,LIMIT,IOC,456.4,1.3172000,1.3280008,FILLED,422.5,456.4,1752833915231,601.17008
1000PEPEUSDC,SELL,LIMIT,IOC,62234,0.0133935,0.0135801,FILLED,50302,62234,1752833915254,833.531079
1000PEPE,SELL,LIMIT,IOC,51333,0.0134985,0.0135802,FILLED,32876,51333,1752833915272,692.9185005
TAO,SELL,LIMIT,IOC,0.088,411.72,415.35,FILLED,0.075,0.088,1752833915473,36.23136
SUSHI,SELL,LIMIT,IOC,1978,0.9734,0.9817,FILLED,468,1978,1752833915521,1925.3852000000002
EIGEN,SELL,LIMIT,IOC,20.6,1.5204000,1.5356000,FILLED,20.6,20.6,1752833915584,31.320240000000002
XRPUSDC,SELL,LIMIT,IOC,5.0,3.4074,3.4228,FILLED,2.5,5.0,1752833915696,17.037
XRP,SELL,LIMIT,IOC,1.8,3.4038,3.4205,FILLED,1.8,1.8,1752833916028,6.12684
SOL,SELL,LIMIT,IOC,0.27,177.9200,178.7900,FILLED,0.24,0.27,1752833916058,48.0384
TRUMPUSDC,SELL,LIMIT,IOC,3.90,10.249000,10.349000,FILLED,2.92,3.90,1752833916059,39.9711
GRIFFAIN,SELL,LIMIT,IOC,762,0.0538400,0.0545500,FILLED,314,762,1752833916150,41.02608
SIREN,SELL,LIMIT,IOC,477,0.0512300,0.0519500,FILLED,477,477,1752833916150,24.436709999999998
WLDUSDC,SELL,LIMIT,IOC,128.4,1.1465500,1.1569751,FILLED,79.8,128.4,1752833916241,147.21702
1000PEPE,SELL,LIMIT,IOC,1208,0.0134947,0.0135776,FILLED,1208,1208,1752833916298,16.3015976
ETHFI,SELL,LIMIT,IOC,532.9,1.3154000,1.3281000,FILLED,478.6,532.9,1752833916396,700.9766599999999
NFP,SELL,LIMIT,IOC,1567.2,0.0802500,0.0813763,FILLED,470.9,1567.2,1752833916434,125.76780000000001
ETH,SELL,LIMIT,IOC,0.042,3596.43,3609.90,FILLED,0.042,0.042,1752833916434,151.05006
TRUMP,SELL,LIMIT,IOC,50.39,10.243000,10.342000,FILLED,50.39,50.39,1752833916515,516.14477
ARB,SELL,LIMIT,IOC,1521.2,0.463500,0.466100,FILLED,444.1,1521.2,1752833916553,705.0762000000001
TAO,SELL,LIMIT,IOC,8.922,411.28,415.47,FILLED,2.300,8.922,1752833916579,3669.44016
INIT,SELL,LIMIT,IOC,6686,0.4575000,0.4616953,FILLED,954,6686,1752833917143,3058.8450000000003
SIREN,SELL,LIMIT,IOC,9869,0.0512100,0.0519085,FILLED,4004,9869,1752833917349,505.39149
THE,SELL,LIMIT,IOC,169.1,0.3910000,0.4113000,FILLED,169.1,169.1,1752833917591,66.1181
C,SELL,LIMIT,IOC,347,0.4535600,0.4561100,FILLED,32,347,1752833918063,157.38532
SOL,SELL,LIMIT,IOC,20.57,177.8600,178.7500,FILLED,20.57,20.57,1752833918235,3658.5802000000003
WLD,SELL,LIMIT,IOC,280,1.1450000,1.1569000,FILLED,280,280,1752833918236,320.6
1000SHIB,SELL,LIMIT,IOC,186425,0.014808,0.014905,FILLED,186425,186425,1752833918310,2760.5814
FARTCOIN,SELL,LIMIT,IOC,98.9,1.4360000,1.4503000,FILLED,98.9,98.9,1752833918323,142.0204
RSR,SELL,LIMIT,IOC,614464,0.009246,0.009341,FILLED,117406,614464,1752833918579,5681.334144
PNUT,SELL,LIMIT,IOC,6466,0.2924000,0.2954560,FILLED,208,6466,1752833918601,1890.6584
XRP,SELL,LIMIT,IOC,433.0,3.4030,3.4213,FILLED,433.0,433.0,1752833918601,1473.499
F,BUY,LIMIT,IOC,1384,0.0088244,0.0086910,FILLED,1384,1384,1752833918837,12.2129696
TAC,BUY,LIMIT,IOC,2408,0.0192849,0.0189700,FILLED,2408,2408,1752833918837,46.4380392
ACT,SELL,LIMIT,IOC,16761,0.0463500,0.0468821,FILLED,13219,16761,1752833919211,776.87235
C,SELL,LIMIT,IOC,6368,0.4528100,0.4594827,FILLED,25,6368,1752833919555,2883.49408
C,SELL,LIMIT,IOC,2837,0.4522200,0.4572100,FILLED,2837,2837,1752833922085,1282.94814
C,SELL,LIMIT,IOC,18,0.4518200,0.4593000,FILLED,18,18,1752833923122,8.13276
TRUMP,SELL,LIMIT,IOC,42.72,10.235000,10.342000,FILLED,42.72,42.72,1752833923185,437.2392
AI16Z,SELL,LIMIT,IOC,1000.0,0.1855000,0.1883000,FILLED,1000.0,1000.0,1752833923191,185.5
SOLUSDC,SELL,LIMIT,IOC,0.03,177.8800,178.8000,FILLED,0.03,0.03,1752833923192,5.336399999999999
MILK,SELL,LIMIT,IOC,12595,0.0477100,0.0483718,FILLED,6751,12595,1752833923199,600.90745
DOGE,SELL,LIMIT,IOC,25,0.236940,0.238580,FILLED,25,25,1752833923566,5.923500000000001
SOL,SELL,LIMIT,IOC,85.81,177.8100,178.7100,FILLED,67.92,85.81,1752833923594,15257.876100000001
C,SELL,LIMIT,IOC,1270,0.4516600,0.4602117,FILLED,626,1270,1752833924127,573.6082
TAC,BUY,LIMIT,IOC,9804,0.0193400,0.0191700,FILLED,418,9804,1752833924135,189.60936
VELVET,SELL,LIMIT,IOC,12528,0.0737600,0.0749303,FILLED,1708,12528,1752833924422,924.06528
STORJ,SELL,LIMIT,IOC,235,0.3034,0.3080,FILLED,216,235,1752833926144,71.299
TAC,BUY,LIMIT,IOC,23660,0.0193900,0.0191400,FILLED,3651,23660,1752833926236,458.7674
C,BUY,LIMIT,IOC,135,0.4674500,0.4593300,FILLED,135,135,1752833926567,63.10574999999999
XVG,SELL,LIMIT,IOC,9653,0.0073156,0.0074287,FILLED,9653,9653,1752833929282,70.61748680000001
EIGEN,SELL,LIMIT,IOC,347.8,1.5200000,1.5350067,FILLED,157.2,347.8,1752833930495,528.6560000000001
BERA,SELL,LIMIT,IOC,361.9,2.318000,2.340699,FILLED,108.7,361.9,1752833931287,838.8842
TAC,BUY,LIMIT,IOC,9056,0.0194900,0.0191990,FILLED,8229,9056,1752833933070,176.50144
ETH,SELL,LIMIT,IOC,0.019,3595.06,3609.00,FILLED,0.019,0.019,1752833937192,68.30614
HAEDAL,SELL,LIMIT,IOC,1054,0.2057830,0.2087577,FILLED,149,1054,1752833939279,216.89528199999998
LRC,SELL,LIMIT,IOC,3951,0.09416,0.09555,FILLED,270,3951,1752833940724,372.02615999999995
ETH,SELL,LIMIT,IOC,1.076,3593.54,3607.23,FILLED,1.076,1.076,1752833941139,3866.6490400000002
OMNI,SELL,LIMIT,IOC,3.35,2.6910,2.7350,FILLED,3.35,3.35,1752833941334,9.01485
1000FLOKI,SELL,LIMIT,IOC,19015,0.1301000,0.1313869,FILLED,5794,19015,1752833942134,2473.8514999999998
AIOT,BUY,LIMIT,IOC,3581,0.2931700,0.2837279,FILLED,148,3581,1752833942135,1049.84177
SOL,SELL,LIMIT,IOC,3.03,177.7700,178.5900,FILLED,3.03,3.03,1752833942172,538.6431
ETH,SELL,LIMIT,IOC,0.574,3592.92,3606.96,FILLED,0.474,0.574,1752833942246,2062.33608
GRIFFAIN,SELL,LIMIT,IOC,1061,0.0536900,0.0542200,FILLED,1061,1061,1752833942289,56.965090000000004
TAO,SELL,LIMIT,IOC,15.652,411.22,415.26,FILLED,0.018,15.652,1752833942562,6436.41544
1000SHIB,SELL,LIMIT,IOC,4567,0.014801,0.014894,FILLED,4567,4567,1752833942618,67.596167
GALA,SELL,LIMIT,IOC,69420,0.01948,0.01967,FILLED,50353,69420,1752833943213,1352.3016
SOL,SELL,LIMIT,IOC,8.62,177.7100,178.5300,FILLED,7.78,8.62,1752833943254,1531.8601999999998
ERA,SELL,LIMIT,IOC,3400,1.4441000,1.4579381,FILLED,134,3400,1752833943417,4909.94
GRIFFAIN,SELL,LIMIT,IOC,259,0.0533900,0.0541800,FILLED,259,259,1752833943448,13.82801
ETH,SELL,LIMIT,IOC,0.020,3592.57,3606.39,FILLED,0.020,0.020,1752833943538,71.8514
BNBUSDC,BUY,LIMIT,IOC,0.01,740.240,736.600,FILLED,0.01,0.01,1752833943538,7.4024
XRP,SELL,LIMIT,IOC,88.2,3.4014,3.4166,FILLED,81.6,88.2,1752833943555,300.00348
DOGS,SELL,LIMIT,IOC,121574,0.0001586,0.0001601,FILLED,57078,121574,1752833943690,19.2816364
1000SHIB,SELL,LIMIT,IOC,251361,0.014792,0.014890,FILLED,51986,251361,1752833943730,3718.131912
XVG,SELL,LIMIT,IOC,84253,0.0073112,0.0074236,FILLED,29053,84253,1752833944129,615.9905336
REZ,SELL,LIMIT,IOC,47238,0.0137200,0.0139300,FILLED,39678,47238,1752833944129,648.10536
HAEDAL,SELL,LIMIT,IOC,22542,0.2056400,0.2085311,FILLED,7,22542,1752833944243,4635.53688
CROSS,SELL,LIMIT,IOC,500,0.2710900,0.2747156,FILLED,381,500,1752833944243,135.545
MANTA,SELL,LIMIT,IOC,574.3,0.2478000,0.2514000,FILLED,574.3,574.3,1752833944274,142.31153999999998
RAYSOL,SELL,LIMIT,IOC,141.8,2.8738000,2.9010000,FILLED,141.8,141.8,1752833944319,407.50484000000006
SOLUSDC,SELL,LIMIT,IOC,0.20,177.7500,178.6100,FILLED,0.20,0.20,1752833944335,35.550000000000004
GRIFFAIN,SELL,LIMIT,IOC,17412,0.0534500,0.0541874,FILLED,3150,17412,1752833944450,930.6714
AI16Z,SELL,LIMIT,IOC,21152.8,0.1852000,0.1877030,FILLED,11233.1,21152.8,1752833944450,3917.49856
SOL,SELL,LIMIT,IOC,0.32,177.6800,178.5200,FILLED,0.32,0.32,1752833944504,56.857600000000005
BOME,SELL,LIMIT,IOC,410004,0.0023060,0.0023280,FILLED,83135,410004,1752833945083,945.4692239999999
LAYER,SELL,LIMIT,IOC,63.4,0.694600,0.701500,FILLED,63.4,63.4,1752833945232,44.037639999999996
SOLUSDC,SELL,LIMIT,IOC,5.90,177.7500,178.6800,FILLED,5.90,5.90,1752833945346,1048.7250000000001
PNUT,SELL,LIMIT,IOC,650,0.2920400,0.2951100,FILLED,650,650,1752833945548,189.82600000000002
XRP,SELL,LIMIT,IOC,144.4,3.3995,3.4186,FILLED,144.4,144.4,1752833945562,490.8878
ZKJ,SELL,LIMIT,IOC,29.0,0.173300,0.176200,FILLED,29.0,29.0,1752833945615,5.0257000000000005
ETH,SELL,LIMIT,IOC,0.872,3592.24,3607.67,FILLED,0.872,0.872,1752833945647,3132.4332799999997
IDOL,SELL,LIMIT,IOC,899,0.0166600,0.0169300,FILLED,899,899,1752833945673,14.977340000000002
SOL,SELL,LIMIT,IOC,4.30,177.6400,178.6200,FILLED,4.30,4.30,1752833946035,763.8519999999999
HOOK,SELL,LIMIT,IOC,347.5,0.125800,0.127800,FILLED,347.5,347.5,1752833946264,43.7155
WIF,SELL,LIMIT,IOC,313.2,1.0706000,1.0820000,FILLED,278.6,313.2,1752833946314,335.31192
ADA,SELL,LIMIT,IOC,2672,0.84220,0.84670,FILLED,2672,2672,1752833946324,2250.3584
SPK,SELL,LIMIT,IOC,12821,0.0345700,0.0349300,FILLED,12821,12821,1752833946373,443.22196999999994
SUSHI,SELL,LIMIT,IOC,137,0.9705,0.9792,FILLED,137,137,1752833946373,132.95850000000002
NIL,SELL,LIMIT,IOC,192.5,0.325800,0.329000,FILLED,192.5,192.5,1752833946373,62.716499999999996
1INCH,SELL,LIMIT,IOC,197,0.3286,0.3321,FILLED,135,197,1752833946373,64.7342
CGPT,SELL,LIMIT,IOC,219,0.1139900,0.1156600,FILLED,17,219,1752833946373,24.96381
AIN,SELL,LIMIT,IOC,181,0.1468600,0.1492500,FILLED,181,181,1752833946373,26.58166
BOME,SELL,LIMIT,IOC,864720,0.0023050,0.0023280,FILLED,77731,864720,1752833946445,1993.1796000000002
DOGE,SELL,LIMIT,IOC,500,0.236860,0.238540,FILLED,500,500,1752833946690,118.42999999999999
BOMEUSDC,SELL,LIMIT,IOC,3914,0.0023050,0.0023270,FILLED,3914,3914,1752833947294,9.02177
UMA,SELL,LIMIT,IOC,9,1.255000,1.273000,FILLED,4,9,1752833947321,11.294999999999998
THE,SELL,LIMIT,IOC,5252.2,0.3911000,0.4110285,FILLED,1726.9,5252.2,1752833947671,2054.13542
HAEDAL,SELL,LIMIT,IOC,929,0.2054950,0.2085037,FILLED,38,929,1752833950240,190.904855
ERA,SELL,LIMIT,IOC,54,1.4425000,1.4550000,FILLED,54,54,1752833950240,77.895
SUSHI,SELL,LIMIT,IOC,50,0.9688,0.9777,FILLED,41,50,1752833950248,48.44
PNUT,SELL,LIMIT,IOC,3369,0.2920300,0.2948427,FILLED,79,3369,1752833950369,983.84907
MKR,SELL,LIMIT,IOC,0.019,2075.40,2087.50,FILLED,0.012,0.019,1752833950496,39.4326
ETHFI,SELL,LIMIT,IOC,80.0,1.3141000,1.3275000,FILLED,80.0,80.0,1752833951065,105.128
BABY,SELL,LIMIT,IOC,7495,0.0492100,0.0497000,FILLED,7495,7495,1752833951085,368.82894999999996
BOME,SELL,LIMIT,IOC,68065,0.0023030,0.0023260,FILLED,68065,68065,1752833951262,156.753695
ACT,SELL,LIMIT,IOC,23182,0.0463100,0.0467976,FILLED,3581,23182,1752833951435,1073.5584199999998
LINK,SELL,LIMIT,IOC,100.52,18.317,18.405,FILLED,12.88,100.52,1752833951589,1841.2248399999999
BOME,SELL,LIMIT,IOC,503570,0.0023030,0.0023250,FILLED,326164,503570,1752833952305,1159.72171
ETH,SELL,LIMIT,IOC,0.654,3592.14,3606.29,FILLED,0.616,0.654,1752833952469,2349.25956
LAYER,SELL,LIMIT,IOC,141.3,0.694500,0.701400,FILLED,102.7,141.3,1752833953095,98.13285
FARTCOIN,SELL,LIMIT,IOC,4.9,1.4343000,1.4472000,FILLED,1.4,4.9,1752833953097,7.0280700000000005
ARB,SELL,LIMIT,IOC,567.3,0.462800,0.465300,FILLED,113.6,567.3,1752833953109,262.54643999999996
TAO,SELL,LIMIT,IOC,0.594,410.86,414.77,FILLED,0.594,0.594,1752833953529,244.05084
ETH,SELL,LIMIT,IOC,0.069,3591.91,3605.56,FILLED,0.069,0.069,1752833953529,247.84179
DOGEUSDC,SELL,LIMIT,IOC,22,0.237270,0.238440,FILLED,22,22,1752833954048,5.21994
STO,SELL,LIMIT,IOC,1056,0.0863900,0.0876275,FILLED,121,1056,1752833954211,91.22784
1MBABYDOGE,SELL,LIMIT,IOC,103026,0.0015151,0.0015295,FILLED,35180,103026,1752833954211,156.0946926
ALT,SELL,LIMIT,IOC,1045,0.0351700,0.0357100,FILLED,1045,1045,1752833954211,36.75265
NEIRO,SELL,LIMIT,IOC,96256,0.00053160,0.00053670,FILLED,96256,96256,1752833954281,51.169689600000005
LINK,SELL,LIMIT,IOC,328.48,18.303,18.395,FILLED,20.66,328.48,1752833954298,6012.169440000001
SOL,SELL,LIMIT,IOC,3.05,177.5700,178.4600,FILLED,3.05,3.05,1752833954355,541.5885
BOMEUSDC,SELL,LIMIT,IOC,137117,0.0023010,0.0023240,FILLED,83012,137117,1752833954429,315.506217
ETH,SELL,LIMIT,IOC,0.025,3591.58,3606.47,FILLED,0.025,0.025,1752833954955,89.7895
LQTY,SELL,LIMIT,IOC,168.8,1.381400,1.399880,FILLED,32.7,168.8,1752833955309,233.18032000000002
